file,sheet,row,year,category,asset,side,entry_date,exit_date,pnl,side_norm
Futures Phi v1.xlsx,Phi - EMA - 17 34,23,2015,Futuros,WINZ15,2.0,2015-10-14,2015-10-19,222.0,Não informado
Futures Phi v1.xlsx,Phi - EMA - 17 34,24,2015,Futuros,MÉDIA/TOTAL,,,,-2560.9300000000258,Não informado
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,2,2018,Ações,FESA4,Long,2017-12-07,,4980.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,3,2018,Ações,ESTC3,Long,2017-12-13,,36.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,4,2018,FIIs,VVAR11,Long,2017-12-19,,-587.9999999999982,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,5,2018,Ações,CGAS5,Long,2017-12-21,,2080.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,6,2018,Ações,MYPK3,Long,2017-12-22,,256.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,7,2018,Ações,POMO4 (T),Long,2017-12-26,,-112.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,8,2018,Ações,HBOR3(T),Long,,2018-01-29,-1968.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,9,2018,Futuros,WING18,Long,2018-01-02,2018-01-02,520.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,10,2018,Futuros,WING18,Long,2018-01-02,2018-01-02,-320.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,11,2018,Futuros,WING18,Long,2018-01-03,2018-01-03,-760.0,Compra/Long
Journal 2018 - Ficou muito complexa para gerenciar - nao gostei.xlsx,Position Trades,12,2018,Futuros,WDOG18,Long,2018-01-03,2018-01-03,-200.0,Compra/Long
